grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int
577,225.132,13.57,97.7,7738.29,38.0,189.0,15.51,(-1-1-6),[2821-8],Other/Random,15.66,"-1,-1,-6","28,21,-8"
578,228.006,55.967,133.85,8447.78,45.873,711.0,30.09,(889),[73-9],Other/Random,37.39,"8,8,9","7,3,-9"
579,135.218,54.794,226.86,9356.66,48.402,873.0,33.34,(111),[-2736-8],Other/Random,37.69,"1,1,1","-27,36,-8"
580,121.386,52.259,218.81,9742.0,53.835,2943.0,61.21,(-40-27-45),[1615-24],Other/Random,38.62,"-40,-27,-45","16,15,-24"
581,53.755,46.231,307.73,9785.88,44.229,630.0,28.32,(-20-15-24),[-631445],Other/Random,28.31,"-20,-15,-24","-63,14,45"
582,320.971,15.389,27.52,10016.38,47.896,1818.0,48.11,(-4-3-18),[-1672-9],Other/Random,19.2,"-4,-3,-18","-16,72,-9"
583,32.161,42.128,317.85,11576.0,43.0,432.0,23.45,(14918),[02-1],Other/Random,28.84,"14,9,18","0,2,-1"
584,214.086,51.13,130.05,11800.32,73.207,4698.0,77.34,(-3-2-3),[-340],Other/Random,37.06,"-3,-2,-3","-3,4,0"
585,149.195,51.728,217.65,12469.32,42.182,594.0,27.5,(402745),[-59-1],Other/Random,29.12,"40,27,45","-5,9,-1"
586,320.404,48.091,43.97,12910.54,53.363,1017.0,35.98,(-6-5-7),[-540-24],Other/Random,32.78,"-6,-5,-7","-5,40,-24"
587,337.499,41.294,48.38,14439.06,85.642,9603.0,110.58,(-12-5-15),[515-9],Other/Random,35.45,"-12,-5,-15","5,15,-9"
588,5.91,34.007,9.57,15466.74,45.032,855.0,32.99,(619),[-9364],Other/Random,18.29,"6,1,9","-9,36,4"
589,302.844,51.823,57.82,16132.17,49.139,1944.0,49.75,(-64-45-72),[-8-29],Other/Random,27.18,"-64,-45,-72","-8,-2,9"
590,21.907,32.373,1.24,17251.51,57.544,1539.0,44.27,(12520),[-370],Other/Random,26.1,"12,5,20","-3,7,0"
591,302.426,28.879,77.94,544.68,71.994,4446.0,75.24,(281863),[-21-712],Other/Random,28.64,"28,18,63","-21,-7,12"
592,178.273,40.91,146.72,1225.39,38.654,234.0,17.26,(-70-8),[5-9-4],Other/Random,34.8,"-7,0,-8","5,-9,-4"
593,56.463,7.803,289.72,2485.59,55.608,1494.0,43.61,(-1-1-9),[-8-21],Other/Random,15.86,"-1,-1,-9","-8,-2,1"
594,49.308,34.148,300.89,3837.98,87.816,3078.0,62.6,(-9-8-18),[-9-15],Other/Random,27.63,"-9,-8,-18","-9,-1,5"
595,189.091,21.846,185.64,4097.42,84.983,10410.0,115.14,(18545),[1-40],Other/Random,26.3,"18,5,45","1,-4,0"
596,158.308,47.301,213.4,5448.05,55.182,1530.0,44.14,(525),[-490],Other/Random,24.09,"5,2,5","-4,9,0"
597,231.231,2.716,113.65,5670.02,70.569,3528.0,67.02,(00-1),[720],Other/Random,15.36,"0,0,-1","7,2,0"
598,25.982,23.042,343.38,7137.35,63.693,2493.0,56.34,(15840),[-945-5],Other/Random,24.85,"15,8,40","-9,45,-5"
599,234.439,52.306,124.97,7728.43,63.249,2169.0,52.55,(757),[6316-72],Other/Random,29.52,"7,5,7","63,16,-72"
600,2.308,26.245,21.67,8573.02,84.231,8406.0,103.45,(102),[-12305],Other/Random,30.07,"1,0,2","-12,30,5"
601,47.316,38.655,314.4,9151.69,60.747,4158.0,72.76,(-27-25-45),[-1427],Other/Random,31.05,"-27,-25,-45","-14,2,7"
602,61.247,49.436,312.51,9273.71,43.974,342.0,20.87,(959),[-3-24],Other/Random,31.16,"9,5,9","-3,-2,4"
603,150.714,52.841,225.17,10054.93,57.993,1359.0,41.6,(634072),[-230],Other/Random,34.5,"63,40,72","-2,3,0"
