grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int,on_Lambda_fiber,Lambda_fiber_deviation_deg,on_Gamma_fiber,Gamma_fiber_deviation_deg,on_Eta_fiber,Eta_fiber_deviation_deg,on_Alpha_fiber,Alpha_fiber_deviation_deg
71,346.256,8.243,356.94,3028.75,25.48,4122.0,72.45,(001),[-270],Other/Random,18.7,"0,0,1","-2,7,0",True,8.24,False,47.82,False,16.78,False,28.23
72,311.476,18.108,62.28,3087.3,3.6,90.0,10.7,(9836),[-63-1418],Other/Random,22.71,"9,8,36","-63,-14,18",False,18.11,False,36.67,False,20.2,False,30.89
73,211.529,4.096,135.66,3100.82,24.139,2520.0,56.64,(001),[100],Cube {001}<100>,13.45,"0,0,1","1,0,0",True,4.1,False,50.76,True,13.05,False,32.38
74,114.857,4.337,230.74,3162.13,5.125,648.0,28.72,(001),[100],Other/Random,15.04,"0,0,1","1,0,0",True,4.34,False,50.68,True,14.86,False,30.68
75,6.673,39.022,4.95,3213.23,9.0,1062.0,36.77,(110),[001],Goss {110}<001>,12.4,"1,1,0","0,0,1",False,39.02,False,31.59,True,10.97,False,34.6
76,40.256,49.812,313.32,3253.77,5.353,459.0,24.17,(1-11),[10-1],Other/Random,35.04,"1,-1,1","1,0,-1",False,49.81,True,6.19,False,34.21,True,12.11
77,232.999,46.704,117.13,3308.5,31.196,3996.0,71.33,(-111),[101],Other/Random,26.39,"-1,1,1","1,0,1",False,46.7,True,10.13,False,40.37,True,4.63
78,352.624,30.798,4.61,3382.41,14.475,2367.0,54.9,(110),[001],Goss {110}<001>,14.94,"1,1,0","0,0,1",False,30.8,False,34.2,True,4.15,False,41.64
79,192.754,10.036,167.77,3435.79,23.191,1836.0,48.35,(001),[100],Cube {001}<100>,10.05,"0,0,1","1,0,0",True,10.04,False,46.46,True,2.23,False,42.89
80,129.776,16.449,249.36,3453.43,0.857,63.0,8.96,(10945),[217-6],Other/Random,25.18,"10,9,45","21,7,-6",False,16.45,False,38.38,False,23.75,False,30.49
81,206.469,8.482,141.06,3479.12,33.44,2331.0,54.48,(001),[100],Other/Random,15.07,"0,0,1","1,0,0",True,8.48,False,46.75,True,13.26,False,33.22
82,188.793,10.82,147.31,3510.2,31.805,2349.0,54.69,(001),[-27-637],Other/Random,23.69,"0,0,1","-27,-63,7",True,10.82,False,46.31,False,24.1,False,22.3
83,307.428,38.033,39.52,3558.73,24.553,3420.0,65.99,(548),[-722732],Other/Random,33.5,"5,4,8","-72,27,32",False,38.03,False,17.56,False,29.9,False,27.1
84,159.745,23.094,223.68,3617.78,34.466,2358.0,54.79,(-14-5-35),[-21-5616],Other/Random,31.5,"-14,-5,-35","-21,-56,16",False,23.09,False,34.72,False,26.05,False,28.4
85,132.937,21.193,253.99,3648.27,12.07,1917.0,49.4,(8728),[105-4],Other/Random,27.79,"8,7,28","10,5,-4",False,21.19,False,33.56,False,32.44,False,27.66
86,196.87,17.755,161.02,3742.81,26.846,7533.0,97.94,(18763),[100],Other/Random,17.88,"18,7,63","1,0,0",False,17.75,False,39.7,True,5.83,False,39.32
87,144.007,53.635,216.73,3838.13,10.849,1314.0,40.9,(111),[-59-2],Other/Random,31.04,"1,1,1","-5,9,-2",False,49.34,True,7.38,False,31.04,False,18.84
88,168.228,36.66,221.41,3879.51,17.171,1107.0,37.54,(-5-1-7),[-27-6328],Other/Random,34.33,"-5,-1,-7","-27,-63,28",False,36.66,False,29.43,False,32.6,False,28.96
89,18.689,36.565,318.35,3913.5,0.0,126.0,12.67,(20728),[1863-28],Other/Random,31.06,"20,7,28","18,63,-28",False,36.56,False,25.88,False,28.5,False,25.66
90,187.956,30.862,187.41,3974.99,12.949,2133.0,52.11,(27545),[100],Other/Random,20.27,"27,5,45","1,0,0",False,30.86,False,33.91,True,14.81,False,30.88
91,7.943,43.785,316.44,4022.14,33.744,2286.0,53.95,(818),[510-6],Other/Random,38.29,"8,1,8","5,10,-6",False,43.78,False,29.81,False,38.15,False,26.71
92,321.841,52.009,46.81,4058.78,19.252,1854.0,48.59,(-1-11),[101],Other/Random,35.76,"-1,-1,1","1,0,1",False,51.71,True,6.13,False,35.37,True,10.61
93,146.386,53.124,219.84,4096.13,23.14,1224.0,39.48,(111),[-2440-5],Other/Random,31.57,"1,1,1","-24,40,-5",False,48.23,True,9.34,False,31.54,False,15.2
